area_sqft,bedrooms,bathrooms,property_age,parking_slots,floor_number,near_metro,balconies,location,furnishing,quality_grade,price_inr,area_per_room,luxury_score,age_bucket
1146.0,2,2,28,1,9,0,1,IT Hub,Semi-Furnished,Good,6425543.0,286.5,2,Old
1756.0,4,5,16,1,4,0,1,Family Zone,Unfurnished,Good,10085730.0,195.11111111111111,2,Mature
1404.0,3,3,17,1,19,1,1,IT Hub,Unfurnished,Standard,8128935.0,234.0,3,Mature
946.0,2,2,24,1,16,1,0,IT Hub,Semi-Furnished,Premium,8236799.0,236.5,2,Old
952.0,2,1,4,2,21,0,1,Budget Zone,Fully Furnished,Premium,7769556.0,317.3333333333333,3,Recent
2202.0,4,4,30,1,11,0,0,Premium Central,Semi-Furnished,Premium,16267724.0,275.25,1,Old
1369.0,2,2,12,0,4,1,0,IT Hub,Semi-Furnished,Standard,7103275.0,342.25,1,Mature
2303.0,5,5,23,0,9,0,1,IT Hub,Unfurnished,Good,14702263.0,230.3,1,Old
1183.0,3,4,15,1,15,0,2,Budget Zone,Unfurnished,Good,5060551.0,169.0,3,Mature
1601.0,3,2,26,2,6,1,1,Family Zone,Unfurnished,Standard,9184892.0,320.2,4,Old
2694.0,5,5,21,2,2,1,1,Developing Zone,Fully Furnished,Standard,15259776.0,269.4,4,Old
900.0,2,2,6,1,20,1,2,Premium Central,Fully Furnished,Good,9728791.0,225.0,4,Recent
463.0,1,1,6,2,13,1,1,Family Zone,Fully Furnished,Premium,7436764.0,231.5,4,Recent
2119.0,5,5,30,1,10,0,0,IT Hub,Fully Furnished,Standard,9058108.0,211.9,1,Old
1020.0,1,2,18,1,14,1,1,Family Zone,Fully Furnished,Premium,7597578.0,340.0,3,Mature
1439.0,4,4,9,1,18,1,1,Developing Zone,Fully Furnished,Good,10385749.0,179.875,3,Recent
1145.0,2,2,5,0,1,1,1,Family Zone,Unfurnished,Premium,8933139.0,286.25,2,Recent
1589.0,3,3,4,0,11,1,1,Budget Zone,Unfurnished,Good,6914979.0,264.8333333333333,2,Recent
956.0,2,3,32,1,7,0,1,IT Hub,Semi-Furnished,Good,4990714.0,191.2,2,Old
1356.0,3,3,34,0,3,0,1,Family Zone,Semi-Furnished,Good,3265895.0,226.0,1,Old
1684.0,3,4,13,2,1,0,3,IT Hub,Unfurnished,Luxury,13692790.0,240.57142857142858,5,Mature
926.0,3,3,7,2,11,0,1,Developing Zone,Fully Furnished,Good,5449204.0,154.33333333333334,3,Recent
1086.0,2,1,14,1,14,1,1,Premium Central,Semi-Furnished,Good,10019126.0,362.0,3,Mature
1269.0,2,2,4,1,13,0,1,Premium Central,Semi-Furnished,Good,11840536.0,317.25,2,Recent
707.0,2,1,19,1,19,1,2,IT Hub,Unfurnished,Premium,5242678.0,235.66666666666666,4,Mature
1230.0,3,1,21,0,11,0,2,Developing Zone,Unfurnished,Standard,4520148.0,307.5,2,Old
1512.0,4,4,34,1,15,0,2,Family Zone,Unfurnished,Good,6672059.0,189.0,3,Old
1242.0,3,2,11,0,20,0,1,Budget Zone,Fully Furnished,Good,6166658.0,248.4,1,Mature
1309.0,2,2,6,1,16,0,1,Budget Zone,Semi-Furnished,Luxury,7355597.0,327.25,2,Recent
1440.0,3,4,4,0,22,1,2,IT Hub,Semi-Furnished,Good,11623603.0,205.71428571428572,3,Recent
1109.0,3,3,13,0,6,1,1,IT Hub,Unfurnished,Good,6156229.0,184.83333333333334,2,Mature
1809.0,4,4,21,0,19,0,3,Premium Central,Semi-Furnished,Luxury,13052587.0,226.125,3,Old
2197.0,5,4,2,2,17,1,1,Developing Zone,Semi-Furnished,Good,13157665.0,244.11111111111111,4,New
1209.0,3,4,26,0,14,1,1,Developing Zone,Fully Furnished,Standard,5447681.0,172.71428571428572,2,Old
1702.0,3,4,16,1,1,1,1,Family Zone,Fully Furnished,Standard,10116280.0,243.14285714285714,3,Mature
1325.0,2,2,27,1,13,0,1,Developing Zone,Unfurnished,Standard,3850443.0,331.25,2,Old
1640.0,2,1,16,1,21,0,2,Budget Zone,Fully Furnished,Standard,8136922.0,546.6666666666666,3,Mature
2264.0,4,4,5,1,16,1,0,Family Zone,Unfurnished,Good,13444400.0,283.0,2,Recent
1715.0,3,2,0,0,1,1,1,Developing Zone,Fully Furnished,Premium,11502594.0,343.0,2,New
528.0,2,1,19,1,7,0,1,Family Zone,Unfurnished,Premium,3731222.0,176.0,2,Mature
1686.0,2,1,18,1,14,1,2,Family Zone,Unfurnished,Standard,9128563.0,562.0,4,Mature
2091.0,4,3,28,1,20,0,1,IT Hub,Fully Furnished,Good,12745920.0,298.7142857142857,2,Old
1335.0,4,4,30,1,11,1,3,IT Hub,Unfurnished,Standard,7914056.0,166.875,5,Old
1968.0,4,3,5,1,21,0,2,Developing Zone,Semi-Furnished,Luxury,13177986.0,281.14285714285717,3,Recent
1091.0,2,2,11,1,20,1,1,IT Hub,Semi-Furnished,Standard,5746351.0,272.75,3,Mature
678.0,2,1,7,0,7,0,2,IT Hub,Unfurnished,Good,3215669.0,226.0,2,Recent
1523.0,4,5,3,1,5,0,3,Developing Zone,Semi-Furnished,Good,9798147.0,169.22222222222223,4,New
537.0,1,2,0,0,22,1,1,Developing Zone,Fully Furnished,Good,5287494.0,179.0,2,New
1325.0,3,2,2,1,15,0,1,IT Hub,Fully Furnished,Good,10862629.0,265.0,2,New
2119.0,4,5,18,1,21,1,1,Budget Zone,Semi-Furnished,Premium,10737845.0,235.44444444444446,3,Mature
457.0,1,1,5,0,23,1,2,Developing Zone,Semi-Furnished,Standard,3798078.0,228.5,3,Recent
785.0,2,2,6,0,11,0,0,Budget Zone,Unfurnished,Luxury,4441414.0,196.25,0,Recent
913.0,3,4,4,1,2,0,2,IT Hub,Unfurnished,Good,7537002.0,130.42857142857142,3,Recent
1417.0,4,5,25,1,22,1,1,Family Zone,Unfurnished,Premium,7498617.0,157.44444444444446,3,Old
1260.0,3,3,22,2,15,1,1,IT Hub,Fully Furnished,Premium,10663612.0,210.0,4,Old
2178.0,4,4,33,2,3,1,0,IT Hub,Fully Furnished,Luxury,13479375.0,272.25,3,Old
1946.0,5,4,3,2,13,0,2,Family Zone,Fully Furnished,Standard,12692463.0,216.22222222222223,4,New
1708.0,3,3,7,1,1,1,1,Family Zone,Semi-Furnished,Good,9572333.0,284.6666666666667,3,Recent
1526.0,3,2,15,1,7,1,1,Budget Zone,Semi-Furnished,Good,7062645.0,305.2,3,Mature
1654.0,2,1,22,1,9,1,1,Budget Zone,Semi-Furnished,Good,7745215.0,551.3333333333334,3,Old
1002.0,3,2,4,1,11,0,0,Family Zone,Semi-Furnished,Good,7093050.0,200.4,1,Recent
1896.0,4,5,7,1,14,0,1,Family Zone,Semi-Furnished,Luxury,11987690.0,210.66666666666666,2,Recent
872.0,4,4,14,1,21,1,3,Family Zone,Unfurnished,Luxury,7531734.0,109.0,5,Mature
1884.0,3,3,0,0,9,1,1,IT Hub,Unfurnished,Good,11813655.0,314.0,2,New
2067.0,5,5,13,0,18,0,2,Family Zone,Fully Furnished,Good,10482885.0,206.7,2,Mature
1560.0,3,3,26,0,23,1,0,Family Zone,Semi-Furnished,Premium,8664137.0,260.0,1,Old
1358.0,3,3,18,0,18,0,2,Family Zone,Fully Furnished,Luxury,9882301.0,226.33333333333334,2,Mature
1658.0,2,3,15,2,7,0,1,Developing Zone,Unfurnished,Standard,8105145.0,331.6,3,Mature
450.0,2,1,17,0,17,0,1,Budget Zone,Semi-Furnished,Good,2383864.0,150.0,1,Mature
1607.0,4,4,33,1,7,0,1,Family Zone,Unfurnished,Premium,8068608.0,200.875,2,Old
1391.0,3,3,18,2,12,0,0,Developing Zone,Unfurnished,Good,6726149.0,231.83333333333334,2,Mature
1424.0,3,3,18,1,16,0,1,Developing Zone,Unfurnished,Good,5700038.0,237.33333333333334,2,Mature
1817.0,3,4,32,1,8,0,1,IT Hub,Unfurnished,Luxury,11142376.0,259.57142857142856,2,Old
1411.0,2,2,5,1,1,1,1,Developing Zone,Fully Furnished,Luxury,9676986.0,352.75,3,Recent
857.0,2,2,3,1,21,1,3,Budget Zone,Semi-Furnished,Luxury,7308841.0,214.25,5,New
1376.0,2,2,15,1,18,1,1,Developing Zone,Semi-Furnished,Premium,8519234.0,344.0,3,Mature
1485.0,4,5,11,2,3,0,3,Developing Zone,Semi-Furnished,Good,9315975.0,165.0,5,Mature
1510.0,4,4,7,1,10,1,1,Family Zone,Semi-Furnished,Good,13101295.0,188.75,3,Recent
1534.0,3,3,4,2,7,0,0,Family Zone,Semi-Furnished,Good,8914720.0,255.66666666666666,2,Recent
1990.0,4,4,30,2,24,1,1,IT Hub,Unfurnished,Good,11849971.0,248.75,4,Old
885.0,2,2,21,1,23,1,1,Family Zone,Fully Furnished,Good,4571681.0,221.25,3,Old
1541.0,3,3,24,1,17,0,1,Developing Zone,Fully Furnished,Good,7138193.0,256.8333333333333,2,Old
2121.0,4,3,4,1,11,0,2,IT Hub,Semi-Furnished,Good,14241440.0,303.0,3,Recent
548.0,1,2,11,1,2,1,2,Budget Zone,Semi-Furnished,Premium,5966752.0,182.66666666666666,4,Mature
1543.0,4,4,21,1,6,1,1,Budget Zone,Unfurnished,Good,6563810.0,192.875,3,Old
1146.0,2,2,18,1,3,1,1,Budget Zone,Fully Furnished,Good,5924032.0,286.5,3,Mature
1257.0,4,5,24,2,19,1,1,IT Hub,Semi-Furnished,Standard,7941522.0,139.66666666666666,4,Old
